city,country,lat,lng,slug,status,image,lumaUrl,activities
Berlin,Gjermani,52.5200,13.4050,berlin,active,/assets/cities/Berlin.jpg,,
Düsseldorf,Gjermani,51.2277,6.7735,dusseldorf,active,/assets/cities/Dusseldorf.jpeg,,
Frankfurt,Gjermani,50.1109,8.6821,frankfurt,active,/assets/cities/Frankfurt.jpeg,,
Köln / Cologne,Gjermani,50.9375,6.9603,koln,active,/assets/cities/Koln.jpg,,
Lugano,Zvicër,46.0037,8.9511,lugano,inactive,,,
Munich,Gjermani,48.1351,11.5820,munich,active,/assets/cities/mynih.jpg,,
Nürnberg,Gjermani,49.4521,11.0767,nurnberg,active,,,
Vienna,Austri,48.2082,16.3738,vienna,active,/assets/cities/vjena.jpg,,
Zurich,Zvicër,47.3769,8.5417,zurich,active,/assets/cities/zurich.jpg,,
Copenhagen,Danimarkë,55.6761,12.5683,copenhagen,active,/assets/cities/Copenhagen.jpeg,,
Helsinki,Finlandë,60.1699,24.9384,helsinki,active,/assets/cities/Helsinki HH -Shkurt 2025.jpg,,
Krakow,Poloni,50.0647,19.9450,krakow,active,/assets/cities/Krakow.jpg,,
Stockholm,Suedi,59.3293,18.0686,stockholm,active,,,
Malmo,Suedi,55.6050,13.0038,malmo,active,/assets/cities/malmo.jpg,,
Oslo,Norvegji,59.9139,10.7522,oslo,active,/assets/cities/Oslo.png,,
Prague,Çeki,50.0755,14.4378,prague,active,/assets/cities/Prague.jpg,,
Amsterdam,Holandë,52.3676,4.9041,amsterdam,active,/assets/cities/Amsterdam.jpg,,
Brussels,Belgjikë,50.8503,4.3517,brussels,active,/assets/cities/Bruksel.jpg,,
Dublin,Irlandë,53.3498,-6.2603,dublin,active,/assets/cities/dublin.jpeg,,
London,Mbretëria e Bashkuar,51.5072,-0.1276,london,active,/assets/cities/London Maj25.jpeg,,
Luxembourg,Luksemburg,49.6116,6.1319,luxembourg,active,/assets/cities/Luxembourg.jpg,,
Madrid,Spanjë,40.4168,-3.7038,madrid,active,/assets/cities/Madrid.jpeg,,
Manchester,Mbretëria e Bashkuar,53.4808,-2.2426,manchester,active,/assets/cities/Manchester.jpg,,
Paris,Francë,48.8566,2.3522,paris,active,/assets/cities/Paris.jpg,,
South England (Cheltenham),Mbretëria e Bashkuar,51.8994,-2.0783,south-england,active,/assets/cities/southeast UK.jpg,,
Firenze,Itali,43.7696,11.2558,firenze,active,/assets/cities/Firenze.jpg,,
Genova,Itali,44.4056,8.9463,genova,active,/assets/cities/Genova.jpg,,
Malta,Maltë,35.8989,14.5146,malta,active,/assets/cities/Malta.jpg,,
Milano,Itali,45.4642,9.1900,milano,active,/assets/cities/Milano.jpg,,
Parma,Itali,44.8015,10.3279,parma,active,/assets/cities/Parma.jpeg,,
Roma,Itali,41.9028,12.4964,roma,active,/assets/cities/Rome.jpg,,
Tirana,Shqipëri,41.3275,19.8187,tirana,active,/assets/cities/Tirana.jpg,,
Trento,Itali,46.0748,11.1217,trento,active,/assets/cities/Trento.jpeg,,
Boston,SHBA,42.3601,-71.0589,boston,active,/assets/cities/Boston.jpg,,
Chicago,SHBA,41.8781,-87.6298,chicago,inactive,,,
Miami,SHBA,25.7617,-80.1918,miami,inactive,,,
Minnesota,SHBA,46.7296,-94.6859,minnesota,inactive,,,
New York,SHBA,40.7128,-74.0060,new-york,active,/assets/cities/NY.jpg,,
Philadelphia,SHBA,39.9526,-75.1652,philadelphia,active,/assets/cities/Philadelphia.jpeg,,
San Jose,SHBA,37.3382,-121.8863,san-jose,inactive,,,
Tampa,SHBA,27.9506,-82.4572,tampa,active,/assets/cities/Tampa bAY.jpeg,,
Washington,SHBA,38.9072,-77.0369,washington,active,,,
Barcelona,Spanjë,41.3874,2.1686,barcelona,inactive,,,
Bologna,Itali,44.4949,11.3426,bologna,inactive,,,
Dubai,Emiratet e Bashkuara Arabe,25.2048,55.2708,dubai,inactive,,,
Fort Lauderdale,SHBA,26.1224,-80.1373,fort-lauderdale,inactive,,,
Freiburg,Gjermani,47.9990,7.8421,freiburg,inactive,,,
Hamburg,Gjermani,53.5511,9.9937,hamburg,inactive,,,
New Jersey,SHBA,40.0583,-74.4057,new-jersey,active,,,
Shkup,Maqedonia e Veriut,41.9973,21.4280,shkup,inactive,,,
Toronto,Kanada,43.6532,-79.3832,toronto,inactive,,,
Stuttgart,Gjermani,48.7758,9.1829,stuttgart,active,,,
