name,category,type,city,description,website,linkedin,sponsor,instagram,collaborations,relatedMembers,relatedCities,logo
Albanian PhD Circle,education,ngo,Zurich,Rrjet akademik shqiptar që lidh studiues dhe profesionistë me formim doktoral.,https://albphdcircle.com,https://www.linkedin.com/company/phdcircle/posts/?feedView=all,,https://www.instagram.com/phd_circle/,Mentorimi;Event i perbashket,,,/assets/partners/albanian-phd-circle.png
Centre Culturel des Albanais 28-11 Paris,culture,ngo,Paris,Qendër kulturore shqiptare në Paris që promovon kulturën dhe komunitetin shqiptar.,https://centrecultureldesalbanais2811.org/,https://www.linkedin.com/company/centre-culturel-des-albanais-28-11-paris/posts/?feedView=all,,https://www.instagram.com/centrecultureldesalbanais2811,Event i perbashket;Rrjetezim,,,/assets/partners/centre-culturel-albanais.png
Toastmasters Tirana,education,ngo,Tiranë,Klub dygjuhësh që zhvillon aftësitë e komunikimit të folurit në publik dhe lidershipit.,https://www.toastmasterstirana.al/,,,https://www.instagram.com/toastmasterstirana/,Event i perbashket;Rrjetezim;Mentorimi,,,
ZASMŽ,diaspora,ngo,Kutinë,Komuniteti i shqiptarëve të Qarkut Sisak-Moslavina që ruan identitetin kulturor dhe lidh brezat e diasporës shqiptare në Kroaci.,https://zasmz.hr/,,,,Event i perbashket;Rrjetezim,,,/assets/partners/zasmz.png
BALKIVA,diaspora,ngo,Zagreb,Studio mediatike që sjell historitë e Ballkanit dhe të diasporës në formate bashkëkohore për audienca ndërkombëtare.,,https://www.linkedin.com/company/b-a-l-k-i-v-a-entertainment,,,Event i perbashket;Rrjetezim,,,
LUMI,environment,ngo,Tiranë,Lëvizje mjedisore që mbron lumenjtë dhe fuqizon komunitetet gratë dhe të rinjtë për ruajtjen e natyrës.,https://lumi.al/,https://www.linkedin.com/company/lumi-l%C3%ABvizja-p%C3%ABr-uj%C3%ABrat-mjedisin-dhe-integrimin,,,Rrjetezim,,,/assets/partners/lumi.png
AlbNatyra,environment,ngo,Librazhd,Organizatë mjedisore që mbron biodiversitetin dhe habitatet dhe zhvillon turizmin e natyrës dhe edukimin mjedisor.,https://www.albnatyra.org,https://www.linkedin.com/company/albnatyra-association,,,Rrjetezim,,,/assets/partners/albnatyra.png
RESU,environment,ngo,Tiranë,Organizatë e themeluar nga të rinj të rikthyer në Shqipëri që punon për mbrojtjen e lumenjve dhe fuqizimin e komuniteteve.,https://reinforcesustainability.com/,https://www.linkedin.com/company/resuorg,,,Rrjetezim,,,
Slow Mill Milano,culture,ngo,Milano,"Qendër kulturore italo-shqiptare në lagjen Isola të Milanos, e drejtuar nga shoqata Dora e Pajtimit, me teatër social, seminare dhe shkollë të gjuhës shqipe.",https://www.slowmill.it/,,,https://www.instagram.com/slowmill.milano/,,,,/assets/partners/slow-mill.png
Qendra Dua,culture,ngo,Tiranë,"Qendër kulturore jofitimprurëse në Tiranë që bashkon aktivizmin rinor, promovimin e kulturës dhe mbrojtjen e natyrës shqiptare, me evente si Dua Talks, Dua Film dhe Dua Libri.",https://duacenter.al/,,,https://www.instagram.com/qendradua/,,,,/assets/partners/qendra-dua.png
